2022-10-15 10:17:49,198 INFO    MainThread:1944 [wandb_setup.py:_flush():76] Configure stats pid to 1944
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_setup.py:_flush():76] Loading settings from /Users/chasearmer/.config/wandb/settings
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_setup.py:_flush():76] Loading settings from /Users/chasearmer/metabolomics/DeepSim/wandb/settings
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_model.py', 'program': 'train_model.py'}
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_init.py:_log_setup():461] Logging user logs to /Users/chasearmer/metabolomics/DeepSim/wandb/run-20221015_101749-28uk9kq4/logs/debug.log
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/chasearmer/metabolomics/DeepSim/wandb/run-20221015_101749-28uk9kq4/logs/debug-internal.log
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_init.py:init():495] calling init triggers
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_init.py:init():499] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 5, 'batch_size': 32}
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_init.py:init():548] starting backend
2022-10-15 10:17:49,199 INFO    MainThread:1944 [wandb_init.py:init():552] setting up manager
2022-10-15 10:17:49,202 INFO    MainThread:1944 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-15 10:17:49,204 INFO    MainThread:1944 [wandb_init.py:init():558] backend started and connected
2022-10-15 10:17:49,205 INFO    MainThread:1944 [wandb_init.py:init():636] updated telemetry
2022-10-15 10:17:49,205 INFO    MainThread:1944 [wandb_init.py:init():668] communicating run to backend with 30 second timeout
2022-10-15 10:17:49,465 INFO    MainThread:1944 [wandb_run.py:_on_init():1981] communicating current version
2022-10-15 10:17:49,547 INFO    MainThread:1944 [wandb_run.py:_on_init():1985] got version response upgrade_message: "wandb version 0.13.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-10-15 10:17:49,547 INFO    MainThread:1944 [wandb_init.py:init():700] starting run threads in backend
2022-10-15 10:17:54,563 INFO    MainThread:1944 [wandb_run.py:_console_start():1961] atexit reg
2022-10-15 10:17:54,563 INFO    MainThread:1944 [wandb_run.py:_redirect():1819] redirect: SettingsConsole.WRAP_RAW
2022-10-15 10:17:54,563 INFO    MainThread:1944 [wandb_run.py:_redirect():1884] Wrapping output streams.
2022-10-15 10:17:54,563 INFO    MainThread:1944 [wandb_run.py:_redirect():1906] Redirects installed.
2022-10-15 10:17:54,563 INFO    MainThread:1944 [wandb_init.py:init():732] run started, returning control to user process
2022-10-15 10:17:55,718 INFO    MainThread:1944 [wandb_watch.py:watch():47] Watching
2022-10-15 10:17:56,803 INFO    MainThread:1944 [wandb_watch.py:watch():47] Watching
2022-10-15 10:17:57,894 INFO    MainThread:1944 [wandb_watch.py:watch():47] Watching
2022-10-15 10:17:58,980 INFO    MainThread:1944 [wandb_watch.py:watch():47] Watching
2022-10-15 10:18:00,066 INFO    MainThread:1944 [wandb_watch.py:watch():47] Watching
2022-10-15 10:18:04,078 WARNING MsgRouterThr:1944 [router.py:message_loop():76] message_loop has been closed
